vars,S1,S1_conf
f202_2,0.000398385088833803,0.0006330252253429872
f204_2,0.00040395061073242924,0.0005936452291795408
f206_2,0.0004202348602044496,0.0006201211057545227
f208_2,0.000592848523510313,0.0006676963479581433
f210_21,0.00013702800916321292,0.0005369217000204501
f212_21,0.00021203661151348538,0.0005343081179221256
f214_21,8.298770720200179e-06,0.00045621655694003517
f216_21,-9.605861014072402e-05,0.00039046255257746924
f218_21,0.00018345980360328506,0.0005206639789049491
f220_22,0.00019375332502994302,0.0005062716045105579
f222_22,0.0006143961856301277,0.0006103889630156491
f224_22,-2.6291827769730266e-05,0.00043780247238947383
f226_22,0.00013958870007149454,0.0004465049983372422
f228_22,0.0002611716363301198,0.0005001867653533072
f230_22,0.0002979445932039212,0.00048160784466539855
f232_23,0.0001253027109059161,0.00048603567331690977
f234_23,-3.7452086083739414e-06,0.00043992843926863874
f236_23,0.00017807837226564417,0.0004870422019208142
f238_23,-9.787788860808903e-06,0.0003978110490164657
f240_23,-5.17766966898368e-05,0.00045663941300470834
f242_24,0.00012145482567141726,0.000493747357171876
f244_24,2.1566777880377235e-05,0.00042635029683848406
f246_24,-0.00012707015144856705,0.0003629013732135311
f248_24,6.195202526898438e-05,0.00047029489059550837
f250_24,0.00021318216764173553,0.0004599645117336152
f252_25,0.0002088145247796636,0.0005125410555252084
f254_25,-9.607359683236013e-06,0.00042941736405961646
f256_25,-8.019267116315016e-05,0.0004439884215429117
f258_25,5.3810174291620255e-05,0.0004714065157059649
f260_25,-0.00013362784882708676,0.0003582098283126213
f262_26,0.000300352326903545,0.0005363565217892303
f264_26,4.183568962996587e-05,0.0004120979995059892
f266_26,-0.00010869954142205768,0.0003963804900365303
f268_26,0.00022012011280559437,0.00046735777996412915
f270_26,-3.780131844208787e-05,0.0004208675298520355
f272_27,-8.039937559497156e-06,0.0003958827013120222
f274_27,5.785781360952467e-05,0.0004837712506849022
f276_27,7.45997280118715e-05,0.00045898978299121004
f278_27,1.5905512091275123e-05,0.00041784571677722733
f280_27,-4.981319766483275e-05,0.0003920850539292191
f282_28,9.179389925234631e-05,0.0004171508163398113
f284_28,0.0001472320810710441,0.00045708419073374506
f286_28,-5.161149033330696e-05,0.00039730964260567303
f288_28,-0.00012336234339368435,0.0004040679854051407
f290_28,5.364296469755731e-05,0.00043694577524738695
f292_29,-0.00010250121521309134,0.00038127861820500474
f294_29,0.0003594613027236945,0.0004504373990699969
f296_29,-8.917455930064413e-05,0.0003824880258175108
f298_29,-5.9280556847019926e-05,0.0004038189203265882
f300_29,-4.4066009247163305e-05,0.0003707017464027996
f302_3,1.3481512794212829e-05,0.0004842369890698588
f304_3,-4.314044220409772e-05,0.00040644225920285706
f306_3,-4.737819158338104e-06,0.00036884105528889316
f308_3,-1.4170057271306331e-05,0.00042121933259919734
f310_3,-6.524542703708464e-06,0.00046164082182170984
f312_3,-0.00013067167351870309,0.0003657463188770828
f314_31,2.9947277993410087e-06,0.00038313104074006376
